accountID,companyID,label,initialPurchaseMonth,bin_Efiles,bin_CustomerSpend,firmSize_NumPreparers,productUsage_NumLogs,firmLocation_UrbanRural,numClients,customerSupport_Flag,usedPromotion_Flag,All States,Efile,Evaluation,Federal,First State,Portal,Prior Year,Upgrade,Enterprise,UnlimitedEfile,Pre-paid E-file
81587849,37787,churned,1.0,> 128 efiles,$1999-$2988,4.0,3047.0,945.0,288.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
66206671,8433,churned,1.0,<= 3 efiles,$629-$866,1.0,5064.2,2.0,126.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7149446,36189,churned,11.0,> 128 efiles,> $2988,3.0,2066.4,629.0,104.6,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
62947941,37971,churned,1.0,<= 3 efiles,$1999-$2988,1.0,4638.4,96.0,399.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93174417,82358,churned,1.0,<= 3 efiles,<= $300,1.0,184.4,5.0,83.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19710564,29398,churned,1.0,<= 3 efiles,$1999-$2988,1.0,650.2,14.0,34.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77971454,84537,churned,1.0,11-18 efiles,$469-$628,2.0,1749.4,234.0,373.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38215655,38434,churned,12.0,<= 3 efiles,<= $300,1.0,856.8,47.6,177.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77057313,37866,churned,1.0,4-10 efiles,$629-$866,1.0,2510.2,5.0,123.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1379757,5103,churned,8.0,58-128 efiles,$1999-$2988,1.0,2735.8,330.0,111.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84424177,70483,churned,1.0,11-18 efiles,> $2988,1.0,218.6,15.0,97.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17714273,88539,churned,1.0,> 128 efiles,> $2988,5.0,3256.0,12.0,149.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
77252104,13078,churned,1.0,<= 3 efiles,$867-$1191,1.0,1059.6,61.0,76.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18762841,68836,churned,1.0,32-57 efiles,$1192-$1400,1.0,126.8,7.0,252.6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
58107804,75359,churned,1.0,19-31 efiles,<= $300,1.0,3091.4,417.0,93.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68716451,58306,churned,1.0,19-31 efiles,$469-$628,1.0,2051.4,41.0,189.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
49974617,42368,churned,1.0,<= 3 efiles,$301-$370,1.0,3223.2,1.0,154.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8513079,63084,churned,1.0,<= 3 efiles,$301-$370,1.0,1302.2,2.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42867051,49683,churned,11.0,32-57 efiles,$1192-$1400,2.0,1136.0,12.0,93.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17478219,83477,churned,1.0,<= 3 efiles,$469-$628,1.0,1568.4,31.0,130.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73336761,3348,churned,5.0,4-10 efiles,$301-$370,1.0,918.4,65.0,78.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
